,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
p33,7.276e-04,7.553e-04,8.253e-04,1.004e-03,1.958e-03,2.380e-03,1.153e-03,9.425e-04,1.145e-03,7.713e-04,9.975e-04,8.743e-04,9.240e-04,8.342e-04,1.934e-03,1.899e-03,1.051e-03,7.267e-04,6.186e-04,1.007e-03,1.291e-03,9.390e-04,1.298e-03,7.807e-04,1.013e-03,6.782e-04,1.343e-03,8.433e-04,9.541e-04,7.894e-04,9.629e-04,8.415e-04,6.990e-04,1.143e-03,8.833e-04,5.916e-04,1.216e-03,7.866e-04,1.019e-03,8.877e-04,1.461e-03,6.552e-04,8.821e-04,1.206e-03,1.236e-03,1.077e-03,7.239e-04,1.421e-03,1.928e-03,1.149e-03
p34,8.080e-05,6.864e-05,1.792e-04,7.903e-05,6.300e-05,5.249e-05,5.846e-05,5.378e-05,1.552e-05,9.386e-05,9.146e-05,5.797e-05,7.695e-05,2.387e-04,7.843e-05,8.541e-05,2.709e-05,7.445e-05,2.816e-04,8.506e-05,3.694e-05,8.334e-05,8.026e-05,4.221e-05,1.500e-04,7.001e-05,3.013e-05,1.402e-04,3.924e-05,3.028e-05,8.929e-05,3.764e-05,9.831e-05,1.177e-04,4.503e-05,6.377e-05,7.914e-05,1.861e-05,8.365e-05,5.094e-05,8.593e-05,7.523e-05,1.240e-04,4.567e-05,6.122e-05,1.450e-04,2.689e-05,8.817e-05,8.798e-05,1.598e-04
V35,6.414e+00,3.948e+00,1.115e+01,1.259e+01,1.678e+01,2.290e+01,2.849e+00,9.559e+00,1.168e+01,4.947e+00,1.625e+01,1.762e+01,6.688e+00,1.193e+01,9.323e+00,7.028e+00,5.992e+00,7.586e+00,7.996e+01,9.063e+00,8.153e+00,7.952e+00,7.127e+00,8.046e+00,5.912e+00,6.362e+00,1.695e+00,2.757e+01,1.225e+01,2.290e+01,1.506e+01,1.642e+01,8.750e+00,1.957e+01,2.913e+01,1.042e+01,1.330e+01,1.465e+01,7.030e+00,9.860e+00,1.170e+01,6.537e+00,3.101e+00,2.976e+00,1.647e+01,1.058e+01,7.630e+00,2.447e+00,1.730e+00,1.523e+01
Km35,9.208e+03,5.025e+03,6.006e+03,3.297e+04,1.291e+04,1.217e+04,4.247e+03,5.130e+03,2.009e+03,1.385e+04,7.030e+03,1.626e+04,9.226e+03,1.781e+04,1.262e+04,1.694e+04,4.487e+03,9.851e+03,2.574e+03,6.023e+03,4.229e+03,9.923e+03,3.471e+03,4.007e+03,8.905e+03,4.341e+03,3.003e+04,3.257e+03,8.809e+03,1.945e+04,3.640e+03,6.491e+03,7.781e+03,1.669e+04,5.685e+03,8.501e+03,9.110e+03,1.293e+04,7.134e+03,2.243e+04,2.433e+03,1.146e+04,4.309e+03,1.371e+03,1.152e+04,2.553e+03,4.375e+03,6.218e+03,2.164e+03,5.135e+03
V36,7.623e-04,2.237e-04,1.043e-03,3.266e-04,5.680e-04,6.971e-04,8.901e-04,5.807e-04,1.581e-04,1.207e-03,6.059e-04,4.759e-04,6.797e-04,7.562e-04,8.079e-04,1.179e-03,1.769e-04,5.299e-04,8.033e-04,5.094e-04,8.913e-04,3.428e-04,6.286e-04,4.412e-04,4.178e-04,1.637e-04,4.689e-04,5.138e-03,6.319e-04,1.308e-03,1.013e-03,1.598e-03,5.390e-04,2.646e-04,4.493e-04,1.676e-04,3.690e-04,2.584e-03,3.347e-04,3.945e-04,3.548e-04,3.618e-04,2.747e-04,4.210e-04,1.625e-03,1.328e-03,3.235e-04,8.794e-04,2.390e-04,2.992e-04
Km36,1.417e+03,1.834e+02,5.800e+02,7.973e+02,4.085e+02,5.824e+02,2.901e+02,9.462e+02,7.055e+02,3.269e+03,9.688e+02,1.423e+03,4.053e+02,9.198e+02,4.700e+02,1.198e+03,9.329e+02,5.932e+02,5.799e+02,4.129e+02,1.580e+02,2.970e+02,3.298e+02,9.365e+02,6.278e+02,1.629e+02,3.741e+02,4.951e+02,8.206e+02,2.138e+02,6.475e+02,3.476e+02,6.986e+02,2.311e+02,6.219e+02,3.033e+02,2.824e+02,8.036e+02,6.747e+02,1.833e+03,4.460e+02,2.246e+02,1.826e+02,1.880e+02,1.732e+03,3.880e+02,4.081e+02,8.985e+01,1.194e+02,4.317e+02
V37,2.642e+00,6.006e-01,1.156e+00,1.146e+00,1.409e+00,1.663e+00,7.031e-01,1.298e+00,6.757e-01,1.676e+00,1.172e+00,1.625e+00,1.349e+00,3.333e+00,3.624e+00,1.946e+00,1.110e+00,3.933e-01,8.820e+00,2.107e+00,2.413e+00,2.798e+00,2.316e+00,2.110e+00,2.217e+00,1.285e+00,1.549e+00,1.124e+01,9.468e-01,3.118e+00,1.701e+00,9.884e-01,6.810e-01,4.345e+00,2.901e+00,7.182e-01,6.892e-01,2.850e+00,9.092e-01,2.547e+00,1.374e+00,8.363e-01,1.861e+00,2.914e+00,1.884e+00,3.504e-01,6.062e-01,2.882e+00,4.704e+00,1.370e+00
Km37,5.336e-02,3.539e-02,9.346e-02,2.686e-02,1.623e-01,3.675e-01,3.222e-02,1.055e-01,1.340e-01,1.073e-02,1.193e-01,2.943e-02,1.148e-01,1.282e-01,2.823e-02,6.434e-02,2.186e-02,6.877e-02,1.388e-01,1.788e-01,3.237e-02,5.101e-02,4.393e-02,7.659e-02,1.003e-01,1.147e-01,3.843e-02,5.059e-02,1.472e-01,6.008e-02,3.890e-02,9.227e-02,6.616e-02,3.787e-02,1.243e-01,2.456e-02,1.213e-01,3.591e-02,6.632e-02,3.549e-02,5.635e-02,3.493e-02,8.314e-02,2.085e-01,4.338e-01,3.497e-02,3.111e-02,5.140e-02,8.931e-03,1.687e-01
KimFOS,3.939e-01,6.770e-01,8.603e-01,2.815e-01,4.045e-01,1.424e+00,5.512e-01,1.807e-01,1.839e-01,1.184e+00,7.313e-01,1.639e+00,2.244e-01,6.083e-01,1.434e-01,3.029e-01,2.650e-01,4.345e-01,1.049e+00,6.671e-01,6.646e-01,2.313e-01,3.242e-01,2.887e-01,3.445e-01,4.080e-01,2.327e+00,6.770e-01,5.182e-01,7.198e-01,1.468e-01,1.967e-01,4.170e-01,4.640e-01,3.255e-01,1.825e-01,1.656e+00,3.095e-01,2.227e-01,3.498e-01,3.035e-01,1.600e-01,5.196e-01,5.770e-01,1.616e+00,9.667e-01,2.092e-01,2.006e-01,4.976e-01,3.403e-01
KexFOS,1.696e-01,1.617e-01,1.029e-01,3.424e-01,6.264e-02,1.415e-01,1.038e-01,5.770e-02,3.594e-02,2.631e-01,2.821e-01,1.959e-01,6.970e-02,1.064e-01,9.240e-02,2.996e-01,1.748e-01,9.946e-02,1.554e-01,3.127e-01,1.488e-01,7.147e-02,6.475e-02,8.001e-02,9.983e-02,1.092e-01,1.309e-01,2.141e-01,1.614e-01,1.462e-01,1.685e-01,9.790e-02,1.202e-01,5.282e-02,4.952e-02,8.807e-02,4.392e-02,1.821e-01,6.180e-02,7.253e-02,6.877e-01,8.668e-02,3.810e-02,3.247e-02,3.216e-02,9.432e-02,3.950e-02,7.835e-02,9.220e-02,1.925e-01
V42,9.948e-01,6.514e-01,1.109e+00,2.079e-01,2.242e+00,2.714e+00,5.361e-01,1.189e+00,3.895e-01,4.418e+00,7.767e-01,1.573e+00,5.349e-01,1.229e+00,5.789e-01,6.824e-01,4.414e-01,3.683e-01,2.077e+00,5.250e-01,2.830e-01,1.403e+00,7.917e-01,1.568e+00,1.022e+00,8.043e-01,4.898e-01,9.799e-02,1.369e+00,1.930e+00,6.163e-01,1.034e+00,1.067e+00,1.757e+00,1.900e+00,8.685e-01,1.898e+00,8.960e-01,1.078e+00,3.047e-01,1.744e+00,1.245e+00,3.056e-01,6.618e-01,8.349e-01,4.758e+00,5.415e-01,8.714e-01,1.230e+00,1.013e+00
Km42,1.905e+03,1.060e+04,1.074e+04,1.081e+03,4.218e+03,5.861e+03,6.353e+03,6.936e+03,3.542e+03,9.407e+03,3.489e+03,1.208e+03,2.573e+03,1.110e+03,6.096e+02,1.156e+04,5.846e+03,2.651e+03,7.367e+03,2.775e+03,1.214e+04,2.492e+03,9.727e+02,2.214e+03,3.788e+03,4.810e+03,1.713e+03,1.917e+03,3.255e+03,2.783e+03,6.282e+03,9.050e+03,6.373e+03,4.392e+03,2.509e+03,1.418e+04,2.237e+03,1.789e+03,2.109e+03,1.081e+03,3.514e+03,3.070e+04,1.693e+04,1.535e+03,7.408e+03,4.431e+03,2.129e+03,2.651e+03,3.618e+03,7.483e+03
V43,4.175e-02,3.321e-02,8.268e-02,8.042e-02,1.273e-02,1.442e-01,9.551e-02,7.281e-02,1.161e-01,6.283e-01,7.521e-02,2.656e-02,4.220e-02,5.534e-02,1.373e-02,5.695e-02,4.439e-02,6.043e-02,1.779e-01,4.153e-02,3.703e-02,9.767e-02,2.472e-02,2.785e-02,9.126e-02,5.013e-02,5.807e-02,3.820e-02,1.179e-01,9.041e-02,6.755e-02,8.158e-02,5.644e-02,1.054e-01,2.979e-01,7.599e-02,1.350e-01,1.679e-02,7.943e-02,1.859e-02,4.220e-02,5.711e-02,8.369e-02,3.287e-02,2.079e-01,5.202e-02,1.324e-01,4.834e-02,1.167e-01,1.276e-01
Km43,1.337e+03,4.881e+03,2.059e+03,1.766e+03,6.900e+02,5.548e+03,5.327e+02,4.691e+02,2.529e+02,2.669e+03,1.434e+03,3.749e+02,1.342e+03,1.234e+03,2.374e+03,9.913e+02,9.426e+02,7.962e+02,1.437e+03,8.475e+02,6.892e+02,1.075e+03,6.769e+02,1.510e+03,7.795e+02,7.439e+02,9.839e+02,2.713e+03,1.109e+03,7.797e+02,4.776e+02,1.016e+03,9.820e+02,1.589e+03,9.063e+02,1.061e+03,8.310e+02,3.322e+03,1.505e+03,1.348e+03,1.411e+03,1.989e+03,8.736e+02,2.941e+03,1.206e+03,4.309e+03,8.161e+02,6.056e+02,1.506e+03,1.996e+03
V44,6.197e-02,3.863e-02,1.233e-01,2.033e-02,4.232e-02,1.699e-02,4.585e-02,5.710e-02,6.674e-02,9.995e-02,7.018e-02,4.887e-02,3.625e-02,7.993e-02,4.820e-02,1.510e-01,8.146e-02,3.315e-02,3.389e-01,4.559e-02,7.814e-01,5.059e-02,3.911e-02,4.913e-02,3.924e-02,5.717e-02,4.088e-02,3.064e-01,4.322e-02,9.753e-02,3.597e-02,1.235e-01,4.988e-02,4.214e-02,3.125e-02,8.317e-02,9.826e-02,6.760e-02,7.445e-02,4.498e-02,1.926e-02,1.059e-01,7.652e-02,1.825e-02,2.144e-01,3.079e-02,2.216e-02,6.759e-02,5.603e-02,3.285e-02
Km44,6.517e-02,5.878e-02,6.435e-02,6.648e-02,1.125e-01,5.069e-02,9.175e-02,4.086e-02,2.412e-02,1.215e-01,4.457e-02,2.340e-02,3.900e-02,4.480e-02,5.618e-02,1.686e-01,2.038e-02,2.998e-02,4.370e-01,3.300e-02,2.475e-02,5.920e-02,3.412e-02,6.009e-02,4.973e-02,1.785e-02,4.212e-02,2.862e-01,6.660e-02,7.189e-02,1.162e-01,2.405e-02,3.308e-02,2.557e-02,3.320e-02,4.866e-02,1.347e-02,6.862e-02,5.670e-02,8.782e-02,7.228e-02,5.854e-02,2.509e-02,1.605e-02,8.373e-02,1.251e-01,9.851e-02,3.191e-02,4.808e-02,2.144e-02
p47,2.156e-03,6.628e-03,8.935e-04,6.775e-03,1.987e-03,2.535e-03,2.190e-03,1.263e-03,1.268e-02,1.073e-03,2.795e-03,1.335e-03,1.824e-03,1.809e-03,3.554e-04,1.082e-03,8.645e-04,2.133e-03,2.078e-03,1.752e-03,4.023e-03,1.621e-03,1.913e-03,9.513e-04,1.112e-03,1.051e-03,8.428e-04,2.398e-03,1.084e-03,2.179e-03,1.674e-03,2.685e-03,2.842e-03,1.289e-03,8.537e-03,2.728e-03,2.690e-03,1.368e-03,2.124e-03,1.195e-03,1.387e-03,1.476e-03,2.243e-03,1.408e-03,1.555e-03,6.995e-04,9.092e-04,1.379e-03,2.058e-03,1.799e-03
m47,1.727e+01,7.425e+00,1.857e+01,3.297e+01,1.109e+01,1.167e+01,2.579e+01,2.506e+01,6.780e+01,5.268e+01,1.203e+01,4.825e+00,1.918e+01,1.231e+01,1.436e+01,8.943e+01,8.132e+00,7.026e+00,2.102e+01,1.000e+01,1.715e+01,1.035e+01,1.448e+01,1.265e+01,1.485e+01,1.077e+01,9.766e+00,2.710e+00,6.386e+00,2.791e+01,5.988e+00,2.912e+01,8.653e+00,6.437e+00,7.214e+00,1.532e+01,1.269e+01,6.918e+01,1.762e+01,1.527e+01,5.573e+00,2.980e+01,1.153e+01,1.224e+01,6.047e+01,4.926e+00,4.963e+00,2.611e+01,3.065e+00,8.564e+00
p48,4.665e-01,2.785e-01,5.222e-01,2.642e-01,2.624e-01,1.371e+00,2.502e-01,1.341e+00,6.815e-01,1.890e+00,1.313e+00,3.268e-01,2.962e-01,5.347e-01,4.445e-01,2.430e+00,1.544e+00,4.780e-01,2.379e-01,1.626e+00,5.083e-01,5.172e-01,7.957e-01,5.826e-01,7.269e-01,1.112e+00,3.632e-01,6.132e-01,1.933e+00,1.241e+00,5.430e-01,5.321e-01,4.208e-01,3.866e-01,4.326e-01,2.374e-01,3.732e-01,2.297e+00,5.108e-01,2.881e-01,3.688e-01,1.210e+00,6.873e-01,1.198e+00,1.106e+00,3.123e-01,6.829e-01,8.890e-01,8.809e-01,3.866e-01
p49,2.570e-01,2.504e-01,3.417e-01,1.569e-01,1.340e-01,2.435e-01,6.308e-02,2.696e-01,2.241e-01,8.161e-01,3.672e-01,8.322e-02,4.422e-01,2.199e-01,5.149e-01,2.260e-01,3.589e-01,1.548e-01,3.873e-01,1.912e-01,3.237e-01,3.732e-01,1.196e-01,4.472e-01,1.496e-01,1.831e-01,6.382e-01,2.842e-01,2.219e-01,1.812e-01,3.105e-01,8.532e-02,1.788e-01,2.099e-01,2.205e-01,2.428e-01,2.976e-01,1.265e-01,3.537e-01,2.232e-01,2.104e-01,1.400e-01,3.790e-01,9.952e-02,1.714e-01,1.084e-01,1.797e-01,4.341e-01,9.114e-01,1.649e-01
m49,1.140e+00,2.406e+00,1.313e+00,4.728e-01,3.607e+00,2.596e+00,3.474e+00,1.624e+00,8.668e-01,3.575e+00,1.552e+00,2.335e+00,1.819e+00,1.165e+00,3.322e+00,3.628e-01,1.672e+00,1.300e+00,1.825e+00,2.125e+00,6.355e+00,1.949e+00,1.630e+00,3.960e+00,1.289e+00,1.784e+00,1.822e+00,9.638e-01,9.272e-01,1.370e+00,1.633e+00,1.111e+00,1.997e+00,1.479e+00,5.410e-01,2.885e+00,2.833e+00,1.763e+00,1.001e+00,1.663e+00,2.393e+00,1.570e+00,1.068e+00,1.378e+00,1.338e+00,1.714e+00,7.971e-01,8.502e-01,2.057e+00,2.081e+00
p50,1.325e+01,2.436e+01,1.399e+01,3.998e+01,2.717e+01,6.871e+00,1.687e+01,3.075e+01,9.455e+00,5.864e+01,4.323e+01,2.983e+01,3.347e+01,4.342e+01,1.429e+01,1.730e+01,3.162e+01,1.909e+01,4.103e+01,3.786e+01,3.738e+01,1.983e+01,3.157e+01,3.177e+01,4.489e+01,7.491e+01,1.904e+01,1.009e+02,2.800e+01,2.205e+01,1.164e+01,1.572e+01,1.954e+01,1.529e+02,3.072e+01,1.032e+01,2.622e+01,1.538e+01,2.546e+01,8.113e+01,4.048e+01,1.186e+01,2.823e+01,8.350e+00,1.647e+02,1.676e+01,2.961e+01,1.280e+01,7.247e+01,3.028e+01
p51,8.750e-03,1.822e-02,1.848e-02,1.091e-02,1.020e-02,4.575e-02,6.991e-03,2.025e-02,5.465e-03,1.007e-01,1.750e-02,1.724e-02,6.434e-03,1.897e-02,9.542e-03,1.885e-02,2.692e-02,1.550e-02,8.553e-02,1.208e-02,1.545e-02,1.155e-02,5.796e-03,8.505e-03,3.358e-02,8.085e-03,8.345e-03,1.360e-02,2.208e-02,2.033e-02,2.038e-02,2.110e-02,9.334e-03,3.621e-02,7.088e-03,1.058e-02,1.573e-02,2.111e-02,1.096e-02,7.216e-03,9.035e-03,1.595e-01,3.173e-03,6.259e-03,2.733e-02,4.179e-03,1.604e-02,8.072e-03,4.667e-02,2.708e-02
m51,8.604e+00,1.559e+01,5.727e+00,2.120e+00,1.532e+01,5.941e+00,7.288e+00,1.024e+01,5.183e+00,8.912e+01,6.983e+00,3.179e+00,1.479e+01,8.467e+00,8.957e+00,1.402e+01,1.359e+01,6.107e+00,7.905e+00,7.042e+00,1.570e+01,7.402e+00,5.630e+00,1.188e+01,8.648e+00,5.077e+00,1.640e+00,3.426e+00,8.501e+00,9.945e+00,1.570e+01,1.154e+01,1.890e+01,1.147e+01,7.175e+00,4.225e+00,4.330e+00,1.400e+01,9.140e+00,2.916e+01,5.202e+00,3.126e+00,2.138e+00,3.676e+00,9.512e+00,4.793e+00,7.122e+00,4.482e+00,2.929e+00,4.099e+00
V57,1.117e+00,9.950e-01,9.486e-01,3.970e+00,3.527e-01,5.194e-01,5.658e-01,7.254e-01,1.185e-01,3.526e-01,7.752e-01,1.479e+00,2.103e+00,1.691e+00,5.009e-01,8.655e+00,1.058e+00,6.349e-01,4.437e+00,8.236e-01,7.280e-01,1.313e+00,6.577e-01,7.929e-01,1.151e+00,7.645e-01,2.710e+00,7.576e-01,1.736e+00,1.073e+00,5.792e-01,1.050e+00,1.084e+00,1.971e+00,2.024e+00,1.282e+00,4.628e-01,1.450e+00,1.534e+00,1.940e+00,1.372e+00,8.449e+00,1.095e+00,1.278e+00,1.162e+00,4.063e+00,1.546e+00,7.534e-01,1.571e+00,6.402e-01
Km57,3.466e-01,7.071e-01,7.881e-01,2.432e-01,9.568e-01,1.477e+00,2.136e-01,3.204e-01,4.848e+00,6.790e-01,5.644e-01,4.924e-01,8.031e-01,4.616e-01,8.114e-01,1.247e+00,5.506e-01,5.335e-01,3.239e-01,5.121e-01,2.403e-01,4.213e-01,2.420e-01,3.582e-01,1.395e+00,4.945e-01,1.244e+00,1.466e-01,1.652e+00,7.219e-01,8.064e-01,1.051e+00,4.047e-01,8.393e-01,7.781e-01,4.230e-01,2.579e-01,2.145e-01,1.543e+00,6.143e-01,6.733e-01,1.119e-01,2.999e-01,8.682e-01,5.945e-01,2.999e+00,7.369e-01,1.710e-01,5.451e-01,1.113e+00
n57,1.552e+00,1.612e+00,1.604e+00,1.807e+00,2.155e+00,1.570e+00,1.261e+00,1.188e+00,1.959e+00,3.226e+00,1.796e+00,1.195e+00,1.775e+00,2.027e+00,1.439e+00,1.234e+00,1.383e+00,1.330e+00,1.152e+00,1.645e+00,1.328e+00,1.326e+00,1.265e+00,1.853e+00,1.635e+00,1.558e+00,1.864e+00,1.147e+00,2.016e+00,1.699e+00,1.689e+00,1.256e+00,1.606e+00,1.765e+00,1.545e+00,1.106e+00,1.523e+00,1.639e+00,1.583e+00,1.137e+00,1.750e+00,1.152e+00,1.551e+00,2.468e+00,1.287e+00,2.438e+00,1.403e+00,1.384e+00,1.764e+00,1.855e+00
p58,7.492e-04,2.025e-04,1.220e-04,3.992e-05,1.490e-04,4.797e-04,2.937e-04,1.319e-04,3.159e-04,9.121e-04,1.556e-04,8.510e-05,1.362e-04,3.333e-04,3.410e-04,1.059e-03,2.083e-04,2.350e-04,2.613e-04,1.795e-04,3.216e-04,1.474e-04,1.547e-04,2.614e-04,2.801e-04,1.131e-04,6.071e-04,2.199e-03,2.907e-04,8.360e-05,2.217e-04,2.613e-04,1.983e-04,6.151e-04,1.928e-04,5.759e-04,1.478e-04,1.619e-03,2.348e-04,5.243e-04,2.736e-04,4.194e-04,1.356e-04,2.437e-04,2.288e-04,1.740e-04,3.830e-04,6.675e-05,7.409e-04,1.570e-04
p59,4.364e-03,1.083e-03,3.013e-03,2.109e-03,4.773e-04,2.762e-03,8.753e-04,8.647e-04,7.458e-04,8.487e-04,1.397e-03,1.152e-03,3.081e-03,8.821e-04,3.308e-04,9.632e-04,8.631e-04,5.246e-04,1.414e-03,7.321e-04,2.352e-03,1.500e-03,5.649e-04,8.811e-04,1.681e-03,1.381e-03,4.090e-03,1.568e-04,6.373e-04,6.426e-04,1.558e-03,3.503e-03,1.667e-03,1.081e-03,1.811e-04,3.564e-03,5.193e-03,2.106e-03,1.167e-03,1.231e-03,1.402e-03,1.419e-03,1.233e-03,1.755e-03,5.324e-04,2.604e-03,1.323e-03,4.841e-04,1.263e-03,1.750e-03
p60,1.053e-03,1.715e-03,1.978e-03,7.112e-03,3.586e-03,1.764e-03,9.950e-04,2.457e-03,5.305e-04,5.774e-03,4.344e-03,2.269e-03,4.458e-03,1.754e-03,3.010e-03,2.189e-03,1.711e-03,3.100e-03,6.567e-04,3.756e-03,1.366e-03,3.167e-03,1.850e-03,2.534e-03,1.197e-03,2.982e-03,2.897e-03,4.929e-03,1.389e-03,3.877e-03,2.149e-03,1.629e-03,1.203e-03,2.003e-03,1.721e-03,2.727e-03,6.887e-03,1.939e-03,2.124e-03,5.648e-03,3.941e-03,5.890e-04,2.380e-03,1.109e-02,5.786e-03,1.262e-03,1.077e-03,5.121e-03,1.732e-03,4.045e-03
p61,8.984e-05,2.591e-05,6.187e-05,1.353e-05,5.053e-05,5.653e-05,3.410e-05,3.368e-05,1.140e-05,3.047e-05,1.613e-05,1.930e-05,6.627e-05,5.758e-05,1.034e-05,7.633e-05,2.156e-05,2.219e-05,1.798e-05,2.250e-05,1.921e-05,1.093e-05,3.655e-05,5.510e-05,5.877e-05,3.239e-05,1.559e-05,1.153e-04,4.422e-05,2.395e-05,8.402e-05,8.590e-05,2.249e-05,2.566e-05,1.119e-05,1.034e-04,4.651e-05,6.099e-05,4.282e-05,4.426e-05,1.357e-05,2.217e-05,2.084e-05,6.744e-06,3.337e-05,2.082e-05,1.942e-05,4.247e-05,9.169e-06,2.449e-05
KimF,1.421e-02,1.467e-02,1.988e-02,7.987e-03,1.819e-02,1.382e-02,2.141e-02,3.189e-02,9.167e-03,1.389e-02,1.554e-02,1.943e-02,2.354e-02,1.940e-02,3.941e-02,6.397e-02,1.913e-02,9.785e-03,5.497e-02,1.504e-02,1.085e-02,5.699e-03,2.858e-02,2.243e-02,1.740e-02,1.981e-02,4.051e-02,9.656e-03,3.541e-02,4.501e-02,4.233e-03,4.525e-02,2.213e-02,1.093e-02,3.298e-02,4.313e-02,2.108e-02,6.884e-03,2.414e-02,2.136e-02,2.022e-02,2.076e-03,2.892e-02,3.551e-02,3.065e-02,1.047e-02,1.095e-02,1.071e-02,3.874e-02,1.160e-02
KexF,6.873e-01,1.926e-01,2.160e-01,8.964e-02,3.258e-01,4.829e-01,2.357e-01,2.472e-01,9.336e-01,9.621e-01,6.266e-01,3.662e-01,2.881e-01,4.359e-01,2.058e-01,5.731e-01,1.505e-01,1.699e-01,4.188e-01,3.002e-01,5.836e-01,3.150e-01,1.223e-01,6.360e-01,2.691e-01,1.038e-01,8.225e-02,2.567e+00,4.514e-01,4.500e-01,5.337e-01,2.162e-01,2.698e-01,2.939e-01,2.186e-01,8.103e-01,2.732e-01,2.077e-01,1.515e-01,1.158e+00,2.872e-01,2.611e-01,2.078e-01,5.268e-01,1.551e-01,7.304e-02,3.219e-01,6.326e-01,1.250e-01,9.383e-01
p63,5.346e-05,2.721e-05,6.827e-05,5.961e-06,1.965e-05,1.217e-04,5.878e-05,2.977e-05,1.260e-05,7.563e-06,3.706e-05,1.562e-05,8.402e-05,2.399e-05,2.404e-05,4.815e-05,2.564e-05,2.538e-05,1.007e-05,4.566e-05,1.437e-05,1.955e-05,2.009e-05,1.778e-05,2.354e-05,4.964e-05,9.213e-05,1.440e-04,4.492e-05,4.343e-05,2.149e-05,2.256e-05,6.102e-05,5.225e-05,1.193e-04,4.820e-05,1.970e-04,6.526e-05,3.425e-05,3.022e-05,1.902e-05,4.361e-06,1.535e-05,1.128e-04,1.222e-05,2.799e-05,6.327e-05,2.618e-05,9.054e-05,1.982e-04
KF31,1.446e-02,2.723e-03,7.862e-03,3.729e-02,8.378e-03,1.804e-02,1.634e-02,9.958e-03,3.126e-03,8.456e-03,8.401e-03,4.343e-03,6.293e-03,2.119e-02,2.133e-02,4.898e-03,7.697e-03,1.241e-02,1.906e-02,7.804e-03,6.348e-03,7.983e-03,1.235e-02,8.718e-03,1.991e-02,6.995e-03,1.762e-02,3.433e-03,1.786e-02,1.025e-02,5.615e-03,8.939e-03,2.555e-02,1.020e-02,4.752e-03,4.370e-03,1.634e-02,1.304e-02,9.272e-03,3.187e-02,1.594e-02,9.112e-02,2.020e-02,2.923e-02,2.962e-03,2.369e-02,1.305e-02,1.088e-02,7.303e-02,5.003e-02
nF31,2.609e+00,2.189e+00,1.929e+00,2.654e+00,1.793e+00,2.557e+00,1.634e+00,1.689e+00,1.079e+00,2.774e+00,2.125e+00,1.573e+00,2.127e+00,2.117e+00,1.223e+00,2.339e+00,1.910e+00,1.744e+00,1.904e+00,2.577e+00,2.493e+00,2.053e+00,1.519e+00,2.274e+00,2.009e+00,1.878e+00,1.895e+00,2.213e+00,1.887e+00,1.893e+00,1.707e+00,1.328e+00,2.110e+00,2.584e+00,1.617e+00,2.053e+00,1.898e+00,3.248e+00,1.975e+00,2.528e+00,2.569e+00,1.718e+00,2.463e+00,1.678e+00,2.054e+00,1.862e+00,2.206e+00,1.852e+00,3.998e+00,1.812e+00
a,2.394e+02,1.901e+02,3.753e+02,1.900e+02,2.132e+02,1.975e+02,1.751e+02,1.496e+02,1.880e+02,1.808e+02,1.655e+02,2.599e+02,1.728e+02,1.746e+02,8.099e+02,2.494e+02,1.434e+02,1.994e+02,1.868e+02,1.076e+02,1.752e+02,2.243e+02,2.163e+02,1.741e+02,1.991e+02,2.024e+02,2.424e+02,1.378e+02,1.950e+02,1.607e+02,1.499e+02,2.032e+02,1.518e+02,2.327e+02,3.842e+02,1.812e+02,2.757e+02,1.998e+02,1.965e+02,2.498e+02,2.650e+02,1.765e+02,2.221e+02,3.060e+02,2.872e+02,3.102e+02,2.022e+02,1.884e+02,1.560e+02,2.050e+02
